title,artist,top genre,year,bpm,danceability,energy,loudness,liveness,valence,duration _s,acousticness,speechiness,popularity
Panini - DaBaby Remix,Lil Nas X,country rap,2019,154,60,72,-5,12,50,151,22,8,80
Oxygen,Excision,brostep,2019,145,62,52,-5,12,15,219,27,3,57
Over Getting Over You,Said the Sky,edm,2018,128,75,62,-5,10,36,221,29,6,51
Over Getting Over You,Said the Sky,edm,2018,128,75,62,-5,10,36,221,29,6,40
Our Times Run Out (feat. Boys of Fall),Kayzo,brostep,2019,150,79,46,-5,10,13,215,1,7,31
On Fire,YULTRON,k-hop,2019,100,82,71,-5,9,52,154,2,4,45
Omae Wa Mou - Tiny Little Adiantum Remix,deadman __,doujin,2020,93,64,74,-5,10,71,114,27,5,69
Older,Sasha Sloan,electropop,2018,64,30,58,-5,12,17,185,73,7,68
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2010,131,60,76,-5,24,36,264,1,4,74
Night Terror - YDG Remix,Kayzo,brostep,2020,75,91,56,-5,39,13,234,0,11,46
Night Terror (feat. Of Mice & Men),Kayzo,brostep,2019,90,74,66,-5,36,24,205,0,3,50
Next Life,Adventure Club,brostep,2019,142,79,52,-5,13,20,187,2,4,57
Next Big Thing,Blueface,cali rap,2018,105,66,79,-6,19,45,97,21,32,52
New World ft. Vava,Krewella,big room,2018,163,77,66,-6,10,56,162,2,8,43
New Rules - Acoustic,Dua Lipa,dance pop,2017,116,35,83,-6,12,51,213,60,4,58
Need Your Love (with Noah Kahan),Gryffin,dance pop,2019,104,76,58,-6,18,52,206,16,4,71
NEW WIP - Chris Lorenzo Remix,Boombox Cartel,bass trap,2019,130,92,92,-6,2,76,222,1,10,48
NAPPA __,Crush,k-pop,2019,162,54,56,-6,17,55,194,39,28,55
Mystery of Love (From the Original Motion Picture “Call Me by Your Name”),Sufjan Stevens,baroque pop,2017,132,27,37,-6,11,24,249,94,4,63
My Type,Saweetie,cali rap,2019,105,81,90,-6,7,59,126,0,26,79
My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,105,49,72,-6,9,38,171,2,3,91
"My Neck, My Back",Khia,hip pop,2002,102,69,86,-6,5,73,222,4,12,50
My My My! - Acoustic,Troye Sivan,australian pop,2018,119,29,55,-6,11,28,223,92,4,52
My Bad,Khalid,alternative r&b,2019,85,57,65,-6,26,39,166,54,8,68
Ms. New Booty,Bubba Sparxxx,atl hip hop,2005,129,62,64,-6,8,61,253,2,42,63
Moon Rider (feat. Wrabel),Jai Wolf,edm,2020,105,57,57,-6,12,28,218,4,3,63
Monster (feat. Matty Mullins of Memphis May Fire),Kayzo,brostep,2019,150,77,72,-6,31,57,235,1,20,38
Money,Cardi B,pop,2018,130,59,95,-6,11,22,184,1,29,78
Modern Loneliness - Single Version,Lauv,pop,2020,76,49,44,-6,11,22,225,15,7,60
Miss Me?,dvsn,alternative r&b,2019,76,52,82,-6,9,22,220,8,10,64
Miss Me More,3LAU,big room,2019,97,80,65,-6,6,52,191,2,4,56
Miracle,Madeon,big room,2019,115,63,51,-6,36,21,250,1,3,57
Miles Apart,Late June,vapor soul,2019,120,14,66,-6,11,7,152,98,4,41
Miku,Anamanaguchi,bitpop,2016,128,71,72,-6,19,57,223,27,9,62
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,brostep,2019,126,90,80,-6,20,33,199,0,7,68
Mercy - Acoustic,Shawn Mendes,canadian pop,2017,79,35,46,-6,11,43,219,71,4,65
Memories,WE ARE FURY,bass trap,2019,140,54,53,-6,14,11,265,1,3,44
Mean It - stripped,Lauv,pop,2019,91,23,54,-6,13,52,242,75,3,56
Me & U,Cassie,dance pop,2006,100,45,80,-6,7,74,192,35,3,73
Man's First Inhibition,NGHTMRE,bass trap,2019,96,92,69,-6,9,20,264,3,5,61
